 Total leads: 46198
 + ---- + ------------------ + --------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + 
 | 1    | Lopunny-Mega       |  4.71892% | 2180   |  4.719% | 
 | 2    | Azumarill          |  4.26053% | 1969   |  4.262% | 
 | 3    | Landorus-Therian   |  3.99810% | 1847   |  3.998% | 
 | 4    | Talonflame         |  3.05648% | 1412   |  3.056% | 
 | 5    | Rotom-Wash         |  2.52830% | 1168   |  2.528% | 
 | 6    | Infernape          |  2.26855% | 1048   |  2.268% | 
 | 7    | Weavile            |  2.23175% | 1031   |  2.232% | 
 | 8    | Klefki             |  2.22309% | 1027   |  2.223% | 
 | 9    | Garchomp           |  1.90921% | 882    |  1.909% | 
 | 10   | Zapdos             |  1.80315% | 833    |  1.803% | 
 | 11   | Skarmory           |  1.76851% | 817    |  1.768% | 
 | 12   | Tyranitar          |  1.74470% | 806    |  1.745% | 
 | 13   | Mamoswine          |  1.73604% | 802    |  1.736% | 
 | 14   | Heatran            |  1.63214% | 754    |  1.632% | 
 | 15   | Metagross-Mega     |  1.56937% | 725    |  1.569% | 
 | 16   | Doublade           |  1.56287% | 722    |  1.563% | 
 | 17   | Beedrill-Mega      |  1.55638% | 719    |  1.556% | 
 | 18   | Lucario            |  1.41135% | 652    |  1.411% | 
 | 19   | Crawdaunt          |  1.38970% | 642    |  1.390% | 
 | 20   | Breloom            |  1.37022% | 633    |  1.370% | 
 | 21   | Ferrothorn         |  1.35290% | 625    |  1.353% | 
 | 22   | Pinsir-Mega        |  1.33558% | 617    |  1.336% | 
 | 23   | Ambipom            |  1.23168% | 569    |  1.232% | 
 | 24   | Medicham-Mega      |  1.13427% | 524    |  1.134% | 
 | 25   | Azelf              |  1.10397% | 510    |  1.104% | 
 | 26   | Scizor             |  0.96976% | 448    |  0.970% | 
 | 27   | Zangoose           |  0.94595% | 437    |  0.946% | 
 | 28   | Diggersby          |  0.91348% | 422    |  0.913% | 
 | 29   | Heliolisk          |  0.88534% | 409    |  0.885% | 
 | 30   | Conkeldurr         |  0.87884% | 406    |  0.879% | 
 | 31   | Bisharp            |  0.86802% | 401    |  0.868% | 
 | 32   | Galvantula         |  0.86153% | 398    |  0.862% | 
 | 33   | Diancie-Mega       |  0.85287% | 394    |  0.853% | 
 | 34   | Volcanion          |  0.83988% | 388    |  0.840% | 
 | 35   | Banette-Mega       |  0.82256% | 380    |  0.823% | 
 | 36   | Raichu             |  0.81174% | 375    |  0.812% | 
 | 37   | Jirachi            |  0.77711% | 359    |  0.777% | 
 | 38   | Mew                |  0.76195% | 352    |  0.762% | 
 | 39   | Shuckle            |  0.73814% | 341    |  0.738% | 
 | 40   | Metagross          |  0.72299% | 334    |  0.723% | 
 | 41   | Gliscor            |  0.68836% | 318    |  0.688% | 
 | 42   | Forretress         |  0.68836% | 318    |  0.688% | 
 | 43   | Magnezone          |  0.67753% | 313    |  0.678% | 
